M_H_ptilda,Ptilda0,Ptilda1,Ptilda2,Ptilda3,Ptilda4,Ptilda5,Ptilda6,Ptilda7,Ptilda8,Ptilda9,Ptilda10,Ptilda11
0,1.00253283317834,0.94979748346695,0.877101628958636,0.783197061630521,0.666729284160016,0.609445951131767,0.551054328824148,0.491637673224839,0.43127110498391,0.384760821158033,0.333223024325092,0.288794861323112
0.05,0.967350589277303,0.920889538064916,0.854724211903057,0.767622425818093,0.658247069955629,0.602982007898419,0.546504983974958,0.488907042178979,0.430270330163579,0.384313851334083,0.333709411725889,0.291187764485893
0.1,0.932168345376265,0.891981592662882,0.832346794847479,0.752047790005664,0.649764855751242,0.596518064665071,0.541955639125768,0.486176411133118,0.429269555343248,0.383866881510133,0.334195799126685,0.293580667648675
0.15,0.899155499703233,0.863073647260849,0.809969377791901,0.736473154193236,0.641282641546855,0.590054121431723,0.537406294276577,0.483445780087258,0.428268780522916,0.383419911686183,0.334682186527482,0.295973570811456
0.2,0.866345491501435,0.83475928370908,0.787591960736322,0.720898518380808,0.632800427342468,0.583590178198374,0.532856949427387,0.480715149041398,0.427268005702585,0.382972941862234,0.335168573928279,0.298366473974238
0.25,0.837291051785377,0.807069298708461,0.765214543680744,0.705323882568379,0.624318213138081,0.577126234965026,0.528307604578197,0.477984517995538,0.426267230882253,0.382525972038284,0.335654961329076,0.30075937713702
0.3,0.80823661206932,0.780905607521403,0.742776720159557,0.689749246755951,0.615835998933694,0.570662291731678,0.523758259729007,0.475253886949677,0.425266456061922,0.382079002214334,0.336141348729872,0.303152280299801
0.35,0.781042672588163,0.756008397248147,0.720431297524884,0.673343732962569,0.607353784729307,0.56419834849833,0.519208914879817,0.472523255903817,0.42426568124159,0.381632032390384,0.336627736130669,0.305545183462583
0.4,0.753861214461366,0.732100026283027,0.699680603658137,0.656140827844506,0.598795401413646,0.557734405264982,0.514659570030627,0.469792624857957,0.423264906421259,0.381185062566434,0.337114123531466,0.307938086625364
0.45,0.730427157851823,0.709184508013368,0.678939995377754,0.639269057616108,0.586810469079276,0.549947661127683,0.510093174749863,0.467061993812097,0.422264131600927,0.380738092742484,0.337600510932263,0.310330989788146
0.5,0.707156196747526,0.688279585617877,0.660363545633336,0.622654208476978,0.574789504080792,0.540921685913547,0.503975665199879,0.46406468295475,0.421263356780595,0.380291122918534,0.33808689833306,0.312723892950927
0.55,0.684908964234835,0.669416345046818,0.641863948164961,0.607290841979191,0.562299869135175,0.531382085153935,0.497824148673425,0.460806429054112,0.420816386956646,0.380307333492616,0.338573285733856,0.315116796113709
0.6,0.662661731722144,0.649163450796473,0.62736748056524,0.593128486091843,0.549855162310396,0.521420592345882,0.490431180948741,0.456779207881967,0.420369417132696,0.381222571360298,0.340384151156557,0.317544716305439
0.65,0.640414499209454,0.627803365278046,0.612567467954965,0.581096484554298,0.540183888436773,0.512549407423509,0.483044140553504,0.45199612355392,0.418269006878342,0.381557537419725,0.342818175111602,0.321682747676283
0.7,0.618167266696763,0.60644327975962,0.592731023138162,0.570868239567457,0.530744691266299,0.504726889988791,0.4773320989462,0.447960532584323,0.41613817129327,0.381110567595775,0.344539388340916,0.325839453803704
0.75,0.595920034184072,0.585083194241194,0.57289457832136,0.557085606646559,0.52468941746977,0.498598437372317,0.472006888938694,0.444680495117897,0.415676233981224,0.381587061011038,0.346367904364712,0.330036944844221
0.8,0.573672801671381,0.563723108722767,0.553058133504558,0.540477473790321,0.518684270587705,0.493270891637051,0.467611484693375,0.441510752640528,0.414710114579613,0.382577288694364,0.348858644930791,0.33396069696759
0.85,0.55142556915869,0.542363023204341,0.533221688687756,0.523869340934083,0.513502228678568,0.490366156282798,0.465067824713453,0.439294151781855,0.413339445672197,0.383148564147596,0.351515877234986,0.338206718248476
0.9,0.529178336645999,0.521002937685914,0.513385243870953,0.507261208077844,0.508320186769431,0.487753997187746,0.463219170182056,0.437811895718416,0.412072350704505,0.383571474995083,0.353977947999064,0.343065440080819
0.95,0.506931104133308,0.499642852167488,0.493548799054151,0.490653075221606,0.503138144860294,0.485141838092694,0.461370515650659,0.436329639654977,0.410805255736812,0.38399438584257,0.356309168004403,0.347568491511155
1,0.484683871620617,0.478282766649061,0.473712354237349,0.474044942365368,0.497956102951157,0.482529678997642,0.459521861119262,0.434847383591538,0.409538160769119,0.384417296690057,0.358640388009742,0.35207154294149
